qid,state_name,lat,lon,name_en,name_hi,name_ta,name_te,name_kn,name_ml,name_bn,name_or,name_mr,name_gu,image_url,deity,religion,architecture_style,commissioned_by,founded_by,inception,heritage_status,inscription,commons_category,wiki_image_url,best_image_url,image_license,image_author,wikipedia_en,asi_id
Q138190675,Tamil Nadu,10.265278,78.521944,Siva temple Varpattu,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/N-TN-C180%20Siva%20temple%20Varpet%20Enadikulam.jpg?width=640,,,,,,,Monument of National Importance,,Siva temple Varpattu,,http://commons.wikimedia.org/wiki/Special:FilePath/N-TN-C180%20Siva%20temple%20Varpet%20Enadikulam.jpg?width=640,CC BY-SA 4.0,R.K.Lakshmi,,N-TN-T133
Q138720570,Uttar Pradesh,24.476111,78.392222,Temple_of_Neelkantha_Pali,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/5%20mukhi%20shivm.jpg?width=640,,,,,,,Monument of National Importance,,Temple of Neelkantha Pali,,http://commons.wikimedia.org/wiki/Special:FilePath/5%20mukhi%20shivm.jpg?width=640,CC BY-SA 4.0,Guptaumesh100,,N-UP-L246
Q138720602,Uttar Pradesh,24.517778,78.246667,"Shantinatha_temple,_Deogarh N-UP-L208",,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Devgarh.jpg?width=640,,,,,,,Monument of National Importance,,"Shantinatha temple, Deogarh",,http://commons.wikimedia.org/wiki/Special:FilePath/Devgarh.jpg?width=640,GFDL,The original uploader was Malaiya at English Wikipedia.,,N-UP-L208
Q139679456,Andhra Pradesh,14.595556,78.756667,"Kamakshi_Vaidyanatha_Temple,_Pushpagiri",,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/10th%20to%2013th%20century%20Trikutesvara%20Temples%20complex%2C%20Pushpagiri%2C%20Andhra%20Pradesh%20India%20-%2011.jpg?width=640,,,,,,,Monument of National Importance,,"Kamakshi Vaidyanatha Temple, Pushpagiri",,http://commons.wikimedia.org/wiki/Special:FilePath/10th%20to%2013th%20century%20Trikutesvara%20Temples%20complex%2C%20Pushpagiri%2C%20Andhra%20Pradesh%20India%20-%2011.jpg?width=640,CC0,P. Madhusudan,,N-AP-79
Q139679687,Andhra Pradesh,14.595556,78.756667,Raghaveswara_swamy_temple_Pushpagiri,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/10th%20to%2013th%20century%20Trikutesvara%20Temples%20complex%2C%20Pushpagiri%2C%20Andhra%20Pradesh%20India%20-%2010.jpg?width=640,,,,,,,Monument of National Importance,,Raghaveswara swamy temple Pushpagiri,,http://commons.wikimedia.org/wiki/Special:FilePath/10th%20to%2013th%20century%20Trikutesvara%20Temples%20complex%2C%20Pushpagiri%2C%20Andhra%20Pradesh%20India%20-%2010.jpg?width=640,CC0,P. Madhusudan,,N-AP-76
Q139679763,Andhra Pradesh,14.595556,78.756944,Trikutesvara Temple Pushpagiri,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/10th%20to%2013th%20century%20Trikutesvara%20Temples%20complex%2C%20Pushpagiri%2C%20Andhra%20Pradesh%20India%20-%2002.jpg?width=640,,,,,,,Monument of National Importance,,Trikutesvara Temple Pushpagiri,,http://commons.wikimedia.org/wiki/Special:FilePath/10th%20to%2013th%20century%20Trikutesvara%20Temples%20complex%2C%20Pushpagiri%2C%20Andhra%20Pradesh%20India%20-%2002.jpg?width=640,CC0,P. Madhusudan,,N-AP-78
Q139691231,Andhra Pradesh,14.581111,78.763611,Visvanatha swamy temple Sivalpalle,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bhimeshwara%20swamy%20temple.JPG?width=640,,,,,,,Monument of National Importance,,Visvanatha swamy temple Sivalpalle,,http://commons.wikimedia.org/wiki/Special:FilePath/Bhimeshwara%20swamy%20temple.JPG?width=640,CC BY-SA 3.0,Lokeshthimmana,,N-AP-81
Q139695346,Andhra Pradesh,18.594167,83.964445,"Bhimeshwara Temple, Mukhalingam",,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bhimeswara%20Temple%2C%20Mukhalingam%2C%20Andhra%20Pradesh%20-%2001.jpg?width=640,,,,,,,Monument of National Importance,,"Bhimeshwara Temple, Mukhalingam",,http://commons.wikimedia.org/wiki/Special:FilePath/Bhimeswara%20Temple%2C%20Mukhalingam%2C%20Andhra%20Pradesh%20-%2001.jpg?width=640,CC0,G.N. Subrahmanyam,,N-AP-121
Q140197726,Gujarat,21.377778,69.870278,Five Temples Balej,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/6th%20to%207th-century%20Maitraka%20Group%20of%20Temples%2C%20Balej%20118.jpg?width=640,,,,,,,State Protected Monument,,Five Temples Balej,,http://commons.wikimedia.org/wiki/Special:FilePath/6th%20to%207th-century%20Maitraka%20Group%20of%20Temples%2C%20Balej%20118.jpg?width=640,CC0,Ms Sarah Welch,,S-GJ-152
Q140277036,Gujarat,24.000556,73.281389,Temple with Kund Abhapur,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Polo%20temple%20ruins%2005.JPG?width=640,,,,,,,State Protected Monument,,Shiva Temple with Kund,,http://commons.wikimedia.org/wiki/Special:FilePath/Polo%20temple%20ruins%2005.JPG?width=640,,,,S-GJ-346
Q140277056,Gujarat,24.001667,73.281944,Jain Temple No. 1 Abhapur,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/0081423%20Jain%20temples%20of%20Abhapur%2C%20Polo%20forest%2C%20Gujarat%20079.jpg?width=640,,,,,,,State Protected Monument,,Lakha Mandir,,http://commons.wikimedia.org/wiki/Special:FilePath/0081423%20Jain%20temples%20of%20Abhapur%2C%20Polo%20forest%2C%20Gujarat%20079.jpg?width=640,CC0,Ms Sarah Welch,,S-GJ-347
Q140277074,Gujarat,24.001944,73.282222,Jain Temple No. 2 Abhapur,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/0081423%20Jain%20temples%20of%20Abhapur%2C%20Polo%20forest%2C%20Gujarat%20141.jpg?width=640,,,,,,,State Protected Monument,,Jain Temple 2,,http://commons.wikimedia.org/wiki/Special:FilePath/0081423%20Jain%20temples%20of%20Abhapur%2C%20Polo%20forest%2C%20Gujarat%20141.jpg?width=640,CC0,Ms Sarah Welch,,S-GJ-348
Q140277094,Gujarat,24.001944,73.282222,Jain Temple No. 3 Abhapur,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/0081423%20Jain%20temples%20of%20Abhapur%2C%20Polo%20forest%2C%20Gujarat%20033.jpg?width=640,,,,,,,State Protected Monument,,Jain Temple 3,,http://commons.wikimedia.org/wiki/Special:FilePath/0081423%20Jain%20temples%20of%20Abhapur%2C%20Polo%20forest%2C%20Gujarat%20033.jpg?width=640,CC0,Ms Sarah Welch,,S-GJ-349
Q140277160,Gujarat,23.999444,73.274722,Shivashakti Temple Abhapur,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/0081423%20Surya%20Temple%20Ruins%2C%20Shiva%20Shakti%20Temple%2C%20Abhapur%20Gujarat%20010.jpg?width=640,,,,,,,State Protected Monument,,"Shiva-Shakti temple, Abhapur",,http://commons.wikimedia.org/wiki/Special:FilePath/0081423%20Surya%20Temple%20Ruins%2C%20Shiva%20Shakti%20Temple%2C%20Abhapur%20Gujarat%20010.jpg?width=640,CC0,Ms Sarah Welch,,S-GJ-351
Q140277405,Gujarat,23.988056,73.218889,Jain Temple No. 4 Antarsumba,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jain%20Temples%20at%20Polo%20Forest.jpg?width=640,,,,,,,State Protected Monument,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jain%20Temples%20at%20Polo%20Forest.jpg?width=640,CC BY-SA 4.0,Nia1kavya2,,S-GJ-355
Q140277470,Gujarat,23.984722,73.213055,Shakti Temple Antarsumba,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/10th-century%20Shakti%20and%20Shiva%20temples%2C%20Antarsuba%20Gujarat%20047.jpg?width=640,,,,,,,State Protected Monument,,Shakti Temple Antarsumba,,http://commons.wikimedia.org/wiki/Special:FilePath/10th-century%20Shakti%20and%20Shiva%20temples%2C%20Antarsuba%20Gujarat%20047.jpg?width=640,CC0,Ms Sarah Welch,,S-GJ-356
Q140277630,Gujarat,23.984722,73.210000,Shiva Temple Antarsumba,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/10th-century%20Shakti%20and%20Shiva%20temples%2C%20Antarsuba%20Gujarat%20250.jpg?width=640,,,,,,,State Protected Monument,,Shiva Temple Antarsumba,,http://commons.wikimedia.org/wiki/Special:FilePath/10th-century%20Shakti%20and%20Shiva%20temples%2C%20Antarsuba%20Gujarat%20250.jpg?width=640,CC0,Ms Sarah Welch,,S-GJ-357
Q140288113,Gujarat,23.985278,73.211667,Shiva Panchayatan Temple No. 1 Antarsumba,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/15th-century%20Shiva%20Panchayatana%20temple%20complex%2C%20Antarsuba%20Gujarat%20016.jpg?width=640,,,,,,,State Protected Monument,,"Shiva Panchayatan Temple Group 1, Antarsuba",,http://commons.wikimedia.org/wiki/Special:FilePath/15th-century%20Shiva%20Panchayatana%20temple%20complex%2C%20Antarsuba%20Gujarat%20016.jpg?width=640,CC0,Ms Sarah Welch,,S-GJ-358
Q140288142,Gujarat,23.988333,73.219722,Shiva Panchayatan Temple No. 2 Antarsumba,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Polo%20Monument%20and%20Vijaynagar%20Forest-%20Jain%20Temples%20%28cropped%29.jpg?width=640,,,,,,,State Protected Monument,,"Shiva Panchayatan Temple Group 2, Antarsumba",,http://commons.wikimedia.org/wiki/Special:FilePath/Polo%20Monument%20and%20Vijaynagar%20Forest-%20Jain%20Temples%20%28cropped%29.jpg?width=640,,,,S-GJ-359
Q140311159,Maharashtra,21.170278,74.491111,Temple of Durga Balsane,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kanbai%20mandir%20Entrance.jpg?width=640,,,,,,,Monument of National Importance,,Temple of Durga Balsane,,http://commons.wikimedia.org/wiki/Special:FilePath/Kanbai%20mandir%20Entrance.jpg?width=640,CC BY-SA 4.0,Parimal R. Patil,,N-MH-A43
Q15108724,Madhya Pradesh,24.848611,79.918056,"Chausath Yogini Temple, Khajuraho","चौंसठ योगिनी मंदिर, खजुराहो",,"చౌసత్ యోగిని ఆలయం, ఖజురహో",,ചോസ്ഥ യോഗിനി ക്ഷേത്രം,,,,"ચોસઠ જોગણી મંદિર, ખજુરાહો",http://commons.wikimedia.org/wiki/Special:FilePath/Khajuraho%2CChausath-Yogini-Tempel.jpg?width=640,,,,,,,Monument of National Importance; part of UNESCO World Heritage Site,,"Chausath Yogini Temple, Khajuraho",https://upload.wikimedia.org/wikipedia/commons/d/de/Khajuraho%2CChausath-Yogini-Tempel.jpg,https://upload.wikimedia.org/wikipedia/commons/d/de/Khajuraho%2CChausath-Yogini-Tempel.jpg,Public domain,Arnold Betten,"https://en.wikipedia.org/wiki/Chausath_Yogini_Temple,_Khajuraho",N-MP-11
Q15194007,Maharashtra,19.537087,77.041508,Aundha Nagnath Temple,,அவுண்டா நாகநாதர் கோயில்,ఆంధా నాగనాథ్ ఆలయం,,,ঔন্ধা নাগনাথ মন্দির,,औंढा नागनाथ मंदिर,,http://commons.wikimedia.org/wiki/Special:FilePath/Aundha%20Nagnath%20Shiva%20Temple%20Jyotirlinga%20Maharashtra%20India.jpg?width=640,,,,,,,State Protected Monument,,Aundha Nagnath Shiva Temple,https://upload.wikimedia.org/wikipedia/commons/8/84/Aundha_Nagnath_Shiva_Temple_Jyotirlinga_Maharashtra_India.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/Aundha_Nagnath_Shiva_Temple_Jyotirlinga_Maharashtra_India.jpg,CC BY 2.0,"vijay chennupati from sydney, australia",https://en.wikipedia.org/wiki/Aundha_Nagnath_Temple,S-MH-88
Q15223867,Himachal Pradesh,32.248030,77.180500,"Hidimba Devi Temple, Dhungri Manali",हिडिम्बा देवी मंदिर,இடும்பி தேவி கோயில்,,ಹಿಡಿಂಬಾ ದೇವಿ ದೇವಾಲಯ,ഹിഡിമ്പി അമ്പലം,হিড়িম্বা দেবী মন্দির,,,હિડિમ્બા દેવી મંદિર,http://commons.wikimedia.org/wiki/Special:FilePath/Hidimba%20Temple%20Manali.jpg?width=640,,,,,,,Monument of National Importance,,Hidimba Devi Temple,https://upload.wikimedia.org/wikipedia/commons/9/99/Hidimba_Devi_Temple_-_North-east_View_-_Manali_2014-05-11_2648-2649.TIF,https://upload.wikimedia.org/wikipedia/commons/9/99/Hidimba_Devi_Temple_-_North-east_View_-_Manali_2014-05-11_2648-2649.TIF,CC BY 3.0,Biswarup Ganguly,https://en.wikipedia.org/wiki/Hidimba_Devi_Temple,N-HP-30
Q15228795,Tamil Nadu,12.845370,79.704812,Iravatanesvara Temple,,காஞ்சிபுரம் இறவாதீசுவரர் கோயில்,జురహరేశ్వర్ దేవాలయం (కాంచీపురం),,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Iravadhisvarar%20Temple%20Kanchipuram.jpg?width=640,,,,,,,Monument of National Importance,,Mruthyunjayeswarar Temple,,http://commons.wikimedia.org/wiki/Special:FilePath/Iravadhisvarar%20Temple%20Kanchipuram.jpg?width=640,CC BY-SA 4.0,Munusamyanbu,,N-TN-C142
Q15240480,Tamil Nadu,12.616700,80.191700,Krishna Cave Temple,,கிருட்டிணன் குகைக்கோயில்,"కృష్ణ మండపం, మహాబలిపురం",,കൃഷ്ണ ഗുഹ ക്ഷേത്രം,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Krishna%20Mandapa%20Exterior%20NE%20Mahabalipuram%20Sep22%20A7C%2002520.jpg?width=640,,,,,,,Monument of National Importance,,Krishna Mandapam,https://upload.wikimedia.org/wikipedia/commons/b/ba/Krishna_Mandapa_Exterior_NE_Mahabalipuram_Sep22_A7C_02520.jpg,https://upload.wikimedia.org/wikipedia/commons/b/ba/Krishna_Mandapa_Exterior_NE_Mahabalipuram_Sep22_A7C_02520.jpg,CC BY-SA 4.0,"This Photo was taken by Timothy A. Gonsalves.  Feel free to use my photos, but please mention me as the author.  I would much appreciate if you send me an email tagooty@yahoo.com or write on my talk page, for my information.  Please contact me before commercial use.



Please do not upload an edited image here without consulting me.  I would like to make corrections only at my own source to ensure that the changes improve the image and are preserved.Otherwise you may upload an edited image with a new name. Please use one of the templates derivative or extract.","https://en.wikipedia.org/wiki/Krishna_Mandapam,_Mahabalipuram",N-TN-C45
Q15260943,Karnataka,15.387361,75.716556,"Nannesvara Temple, Lakkundi",,,"నన్నేశ్వర దేవాలయం, లక్కుండి",,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/11th%20century%20Nannesvara%20temple%2C%20Lakkundi%2C%20Karnataka%20India%20-%2003.jpg?width=640,Shiva,,,,,1100-01-01T00:00:00Z,Monument of National Importance,,"Nannesvara Temple, Lakkundi",https://upload.wikimedia.org/wikipedia/commons/4/4e/Naneshvara_temple_in_Lakkundi.JPG,https://upload.wikimedia.org/wikipedia/commons/4/4e/Naneshvara_temple_in_Lakkundi.JPG,,,"https://en.wikipedia.org/wiki/Nannesvara_Temple,_Lakkundi",N-KA-D250
Q15263712,Tamil Nadu,12.616700,80.191700,Olakkannesvara Temple,,ஒலக்கண்ணேஸ்வர ஆலயம்,ఒలక్కన్నేశ్వర ఆలయం,,,ওলাক্কান্নেশ্বর মন্দির,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Olakkanesvara%20Temple.jpg?width=640,,,,,,,Monument of National Importance,,Olakkanesvara Temple,https://upload.wikimedia.org/wikipedia/commons/9/98/Olakkanesvara_Temple.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/Olakkanesvara_Temple.jpg,,,https://en.wikipedia.org/wiki/Olakkannesvara_Temple,N-TN-C42
Q15271611,Karnataka,14.007805,75.674737,"Rameshvara Temple, Koodli",,,,"ರಾಮೇಶ್ವರ ದೇವಸ್ಥಾನ, ಕೂಡ್ಲಿ",,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Temple%20at%20Kudli.jpg?width=640,,,,,,,Monument of National Importance,,"Rameshvara Temple, Koodli",https://upload.wikimedia.org/wikipedia/commons/e/ea/Temple_at_Kudli.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ea/Temple_at_Kudli.jpg,,,"https://en.wikipedia.org/wiki/Rameshvara_Temple,_Koodli",N-KA-B179
Q15274355,Rajasthan,24.736111,73.720833,Sahastra Bahu Temples,,சகஸ்ரபாகு கோயில்கள்,,,,সহস্র বাহু মন্দির,,,સહસ્ત્ર બાહુ મંદિર,http://commons.wikimedia.org/wiki/Special:FilePath/Nagda-04-Sas%20Bahu-2018-gje.jpg?width=640,,,,,,,Monument of National Importance,,Sahasra Bahu Temples,https://upload.wikimedia.org/wikipedia/commons/5/55/N-RJ-147SasBahuTemplesUdaipur-SolReyes20100922_511.JPG,https://upload.wikimedia.org/wikipedia/commons/5/55/N-RJ-147SasBahuTemplesUdaipur-SolReyes20100922_511.JPG,CC BY-SA 3.0,SolReyes,https://en.wikipedia.org/wiki/Sahasra_Bahu_Temples,N-RJ-147
Q15673405,Madhya Pradesh,24.851930,79.921716,"Matangeshvara temple, Khajuraho",मतंगेश्वर मन्दिर,,"మాతంగేశ్వర ఆలయం, ఖజురహో",,മാതങ്ങേശ്വരാ ക്ഷേത്രം,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/India-5633%20-%20Flickr%20-%20archer10%20%28Dennis%29.jpg?width=640,Shiva,,,,,,Monument of National Importance,,"Matangesvara Temple, Khajuraho",https://upload.wikimedia.org/wikipedia/commons/a/ad/India-5633_-_Flickr_-_archer10_%28Dennis%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ad/India-5633_-_Flickr_-_archer10_%28Dennis%29.jpg,CC BY-SA 2.0,Dennis G. Jarvis,"https://en.wikipedia.org/wiki/Matangeshvara_Temple,_Khajuraho",N-MP-19
